id,operator_name,mine_address,main_controller
1519799,"P B Dirt Movers, Inc","1042 Dirt Mover Drive, Big Rock, VA, 24293",Robin R  Belcher
4407003,P.B. Dirtmovers,"Dirtmover Drive, Big Rock, VA, 24603",Robin R  Belcher
2602570,PAPA'S DIRT WORKES,"2410 OTTAWA ST, SANDY VALLEY, NV, 890198921",Larry J Peplowski
2402503,Paydirt Exc Inc,"17450 Wilson Creek Road, Gallatin Gateway, MT, 59730",Paul A  Yenny
4407296,PB Dirt Movers,"1042 Dirt Mover  Drive, Conaway, VA, 24603",Robin R  Belcher
1519273,PB Dirt Movers Inc.,"1042 Dirt Mover Drive, Big Rock, VA, 24603",Robin R  Belcher
4407270,"PB Dirt Movers, Inc","Dirt Mover Road, Big Rock, VA, 24603",Robin R  Belcher
4102682,Peveto Dirt Pit,"442 Highway 62 North, ORANGE, TX, 77630",Peveto Dirt Pit
0801259,"Phil-Dirt Industries, Inc","CRESTVIEW, FL, 32536",Phil  Bowman
0203332,"Prescott Dirt, LLC","4229 WILLOW CREEK RD, PRESCOTT, AZ, 86301",Steven  Leigh
0302015,R & R Dirtworks,"3404 Cr. 302, Eureka Springs, AR, 72632",Matthew M  Martin
2901986,R D Blankenship Dirt Work LLC,"19 Villa Christina, La Luz, NM, 88337",Rodney D  Blankenship
1601127,Reeves Dirt Pit Inc,"SHREVEPORT, LA, 71135",Reeves Dirt Pit Inc
4105017,River Bottom Dirt,"107 McGilvray Ln, Boyd, TX, 76023",James L  McGilvray Jr
1600986,Roe'S Dirt Pit,"Rte 8 Box 578 Lot 5, DENHAM SPRINGS, LA, 70726",Roe Toler R Sr
4103324,Russell Trest-Dirt Contractor,"SOUR LAKE, TX, 77659",Trest Russell
4202013,S J Stahr Dirt Movers Inc,"OAKLEY, UT, 84055",S J Stahr Dirt Movers Inc
0801371,"Sand and Dirt, Inc.","2222  Highway 95-A North, Gonzalez, FL, 32533",C R  Campbell Sr
2402115,"Sierra Rock & Dirt, Inc.","2901 8th Ave So, Great Falls, MT, 59405",Rick  McDaniel
4300748,Simpson Dirtworx llc,"71 Depot Hill Rd, St. Johnsbury, VT, 05819",Jacob D  Simpson
4300768,SIMPSON DIRTWORX LLC,"925 Underpass Road, Sutton, VT, 05867",Jacob D  Simpson
4300776,SIMPSON DIRTWORX LLC,"71 Depot Hill Rd, St. Johnsbury, VT, 05819",Jacob D  Simpson
0103209,Slay'S Dirt Hauling,"4436 Bell Lane, PACE, FL, 32571",Nancy  Slay
1601159,Southside Dirt Company,"4901 Benton Rd, BOSSIER CITY, LA, 71111",Whittington D R
2302283,"Spry's Dirt & Gravel, Inc.","Rt 1, Edwards, MO, 65326",Teresa M  Spry
4102586,Stewart Dirt Pit,"VIDOR, TX, 77662",Stewart Dirt Pit
4104475,"Stewart Dirt Work, Inc.","1403 Geary Road, Dumas, TX, 79029",James R  Stewart; Jason T  Stewart
3800617,Sweat'S Dirt Hauling Inc,"101 Mayrant St, SUMMERVILLE, SC, 29483",Sweat Richard F
1601234,Toler Roe Dirt Pit,"39270 Weise Rd, DENHAM SPRINGS, LA, 70726",Roe Toler R Sr
4104648,"Tres Palacios Dirt, Sand & Gravel","1899 N. Cage, Pharr, TX, 78577",Oscar A  Palacios
2103518,Vogt Dirt Service,"16733 - 500th St., Bemidji, MN, 56601",Dale C Vogt
1601292,Watson Dirt Sand & Gravel Pit Inc,"14545 Old Hammond Highway, BATON ROUGE, LA, 70816",Meredith Locke
4103429,Y B Dirt & Loam,"800 Dalton Lane, AUSTIN, TX, 78742",Y B Dirt & Loam
4103264,Yarbrough Dirt Pit Inc,"SOUR LAKE, TX, 77659",Yarbrough Newal
