case_number,citation_number,mine_id,penalty_paid,proposed_penalty,standard_violated,standard_violated_url
000218132,8544318,0801306,100.00,100.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf
000218132,8544317,0801306,100.00,100.00,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12004.pdf
000158499,7751779,0801306,100.00,100.00,56.14103(a),http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14103.pdf
000158499,7751780,0801306,"2,000.00","2,000.00",56.3131,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-3131.pdf
000141737,7780187,0801306,100.00,100.00,56.12018,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-12018.pdf
000141737,7780184,0801306,100.00,100.00,56.12008,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-12008.pdf
000141737,7780185,0801306,100.00,100.00,56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf
000141737,7780186,0801306,100.00,100.00,56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf
000109664,7765211,0801306,350.00,350.00,56.12006,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12006.pdf
000089619,6110217,0801306,60.00,60.00,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12004.pdf
000089619,6110215,0801306,60.00,60.00,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-4101.pdf
000089619,6110211,0801306,60.00,60.00,56.12025,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12025.pdf
000089619,6110213,0801306,60.00,60.00,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-14100.pdf
000089619,6110212,0801306,60.00,60.00,56.16006,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-16006.pdf
000089619,6110214,0801306,614.00,614.00,56.12013(b),http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12013.pdf
000089619,6110216,0801306,60.00,60.00,47.41(a),http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec47-41.pdf
000063118,6088757,0801306,60.00,60.00,50.30,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec50-30.pdf
000058196,6094156,0801306,60.00,60.00,56.4200(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-4200.pdf
000058196,6094159,0801306,60.00,60.00,56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-20003.pdf
000058196,6094157,0801306,60.00,60.00,56.4102,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-4102.pdf
000058196,6094158,0801306,60.00,60.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-14132.pdf
000041636,6093407,0801306,268.00,268.00,56.12016,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-12016.pdf
000041636,6093408,0801306,60.00,60.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14132.pdf
000041636,6093409,0801306,60.00,60.00,46.9(c)(2)(i),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec46-9.pdf
080130605503,6092153,0801306,106.00,106.00,56.14103(c)(1),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-14103.pdf
080130605503,6092151,0801306,133.00,133.00,56.4402,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-4402.pdf
080130605503,6092152,0801306,60.00,60.00,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-9300.pdf
080130605503,6092154,0801306,60.00,60.00,56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-20003.pdf
080130605502,7763978,0801306,55.00,55.00,56.4230(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-4230.pdf
080130605502,7763976,0801306,104.00,104.00,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14100.pdf
080130605502,7763975,0801306,55.00,55.00,56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-20003.pdf
080130605502,7763979,0801306,55.00,55.00,56.16006,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-16006.pdf
080130605502,7763977,0801306,104.00,104.00,56.14132(b)(1)(i),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14132.pdf
080130605501,7764984,0801306,55.00,55.00,62.130(a),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec62-130.pdf
080130605501,7764902,0801306,55.00,55.00,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12004.pdf
080130605501,7764907,0801306,113.00,113.00,56.14130(g),http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14130.pdf
080130605501,7764904,0801306,55.00,55.00,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12028.pdf
Not Assessed Yet/Non-Assessable,7764906,0801306,Not Assessed Yet/Non-Assessable,Not Assessed Yet/Non-Assessable,3/20/2002,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14107.pdf
080130605501,7764901,0801306,55.00,55.00,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-1000.pdf
080130605501,7764905,0801306,55.00,55.00,56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-18010.pdf
080130605501,7764903,0801306,55.00,55.00,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12013.pdf
080130605501,7764908,0801306,113.00,113.00,56.12013,https://arlweb.msha.gov/drs/drshome.htm
