case_number,citation_number,mine_id,penalty_paid,proposed_penalty,standard_violated,standard_violated_url
Not Assessed Yet/Non-Assessable,8912694,0801306,Not Assessed Yet/Non-Assessable,Not Assessed Yet/Non-Assessable,56.14132(a),http://www.ecfr.gov/cgi-bin/text-idx?SID=f462b60350e1a59e963680947dff1a01&node=se30.1.56_114132&rgn=div8
000427623,8638781,0801306,351.00,351.00,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12028.pdf
000411633,8903434,0801306,117.00,117.00,46.11(d),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec46-11.pdf
000411633,8903433,0801306,100.00,100.00,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14100.pdf
000411633,8903435,0801306,117.00,117.00,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf
000411633,8903436,0801306,100.00,100.00,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12004.pdf
000411633,8903432,0801306,100.00,100.00,47.41(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec47-41.pdf
000397972,8822977,0801306,100.00,100.00,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf
000397972,8822975,0801306,100.00,100.00,56.14100(c),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf
000397972,8822974,0801306,100.00,100.00,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf
000397972,8822976,0801306,100.00,100.00,56.14101(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14101.pdf
000397972,8822973,0801306,100.00,100.00,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf
000382609,8818270,0801306,100.00,100.00,56.12040,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12040.pdf
000382609,8818269,0801306,100.00,100.00,56.14211(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14211.pdf
000375494,8818247,0801306,100.00,100.00,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12004.pdf
000360091,8835757,0801306,100.00,100.00,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf
000360091,8835756,0801306,100.00,100.00,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf
000346593,8732850,0801306,100.00,100.00,56.14100(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf
000334543,8729317,0801306,100.00,Closed,100.00,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-18002.pdf
000334543,8729316,0801306,117.00,Closed,117.00,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf
000315004,8723395,0801306,100.00,100.00,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14107.pdf
000315004,8723396,0801306,100.00,100.00,56.11003,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-11003.pdf
000296474,8638087,0801306,100.00,100.00,56.9100(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-9100.pdf
000293592,8638086,0801306,100.00,100.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14132.pdf
000293592,8638085,0801306,807.00,807.00,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf
000273703,8637959,0801306,100.00,100.00,46.9(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec46-9.pdf
000256650,8630131,0801306,100.00,100.00,56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-12032.pdf
000230512,8547868,0801306,100.00,100.00,46.9(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec46-9.pdf
000230512,8547870,0801306,100.00,100.00,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12028.pdf
000230512,8547867,0801306,100.00,100.00,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18010.pdf
000230512,8547865,0801306,100.00,100.00,56.4402,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-4402.pdf
000230512,8547862,0801306,100.00,100.00,56.15020,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15020.pdf
000230512,8547866,0801306,243.00,243.00,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf
000230512,8547863,0801306,100.00,100.00,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14107.pdf
