case_number,citation_number,mine_id,penalty_paid,proposed_penalty,standard_violated,standard_violated_url
Not Assessed Yet/Non-Assessable,9317668,3609931,Not Assessed Yet/Non-Assessable,Not Assessed Yet/Non-Assessable,50.30(a),http://www.ecfr.gov/cgi-bin/text-idx?SID=f462b60350e1a59e963680947dff1a01&node=se30.1.50_130&rgn=div8
000421654,8928850,3609931,114.00,114.00,56.9301,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9301.pdf
000380669,8807882,3609931,100.00,100.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14132.pdf
000282555,8650963,3609931,100.00,100.00,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf
000274355,8650926,3609931,100.00,100.00,56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-1000.pdf
000262818,8645898,3609931,100.00,100.00,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4101.pdf
000262818,8645897,3609931,108.00,108.00,56.3200,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-3200.pdf
000262818,8645896,3609931,100.00,100.00,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14107.pdf
