case_number,citation_number,mine_id,penalty_paid,proposed_penalty,standard_violated,standard_violated_url
000374480,8778046,4104757,100.00,100.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf
000374480,8778047,4104757,162.00,162.00,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-18010.pdf
000345454,8771784,4104757,100.00,100.00,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf
000348280,8771781,4104757,100.00,100.00,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf
000345454,8771783,4104757,243.00,243.00,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf
000345454,8771782,4104757,243.00,243.00,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf
000316329,8688404,4104757,100.00,100.00,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec50-30.pdf
000316329,8681995,4104757,162.00,162.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14132.pdf
000316329,8681998,4104757,100.00,100.00,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf
000316329,8681996,4104757,100.00,100.00,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-12028.pdf
000316329,8681997,4104757,100.00,100.00,47.31(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec47-31.pdf
000303884,6315027,4104757,112.00,112.00,46.8(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec46-8.pdf
000246930,6576574,4104757,243.00,243.00,56.15001,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15001.pdf
000246930,6576573,4104757,100.00,100.00,56.20002(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-20002.pdf
000246930,6576571,4104757,100.00,100.00,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf
000246930,6576572,4104757,100.00,100.00,56.18013,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18013.pdf
000206354,6466145,4104757,100.00,100.00,41.12,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec41-12.pdf
000206354,6466144,4104757,100.00,100.00,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-9300.pdf
